"user_id","num_clicks","num_sessions","avg_session_duration","booking_rate","cancellation_rate","avg_clicks_per_session","age","gender","married","has_children","home_country","home_city","years_spent_on_traveltide","user_id","num_trips","num_flights","money_spent_hotel","avg_days_before_trip","avg_km_flown","money_spent_flight","avg_spending_per_trip","avg_trip_duration_days","flight_hotel_combo_rate","avg_seats_per_flight","discount_utilization_rate","avg_flight_discount","max_distance_traveled"
"23557","185","12","295.78","41.66666666666667","8.333333333333332","15.42","65","F","true","false","usa","new york","3","23557","3","2","3906.50","6","576","83.6910","106.5636666666666667","8","33.33333333333333","1","66.66666666666666","0.15000000000000000000","576.1819985601524"
"94883","100","12","62.17","25","0","8.33","52","F","true","false","usa","kansas city","2","94883","3","6","130","60","5304","5354.86","331.3633333333333333","1","66.66666666666666","2","0","","13008.332120186693"
"101486","340","13","659.54","38.46153846153847","7.6923076923076925","26.15","51","F","true","true","usa","tacoma","2","101486","3","4","2387","9","996","351.7425","432.9141666666666667","4","66.66666666666666","1","33.33333333333333","0.05000000000000000000","995.681599782712"
"101961","218","12","135.42","58.333333333333336","0","18.17","44","F","true","false","usa","boston","2","101961","7","12","2954","6","1806","1924.233","621.8904285714285714","4","85.71428571428571","1","14.285714285714285","0.10000000000000000000","4253.525872164716"
"106907","368","14","501.95","28.57142857142857","7.142857142857142","26.29","46","F","true","true","usa","miami","2","106907","2","1","2185.2","5","2085","165.51","174.3550000000000000","6","50","1","50","","2084.7799099765866"
"118043","210","13","226.72","53.84615384615385","7.6923076923076925","16.15","52","F","false","true","usa","los angeles","2","118043","5","6","5616.45","9","2505","2339.29","1012.7260000000000000","6","40","2","60","0.20000000000000000000","4183.68105154044"
"120851","329","13","628.15","38.46153846153847","7.6923076923076925","25.31","52","F","true","true","usa","santa ana","2","120851","3","6","4574","6","1489","808.954","1794.3180000000000000","8","100","1","33.33333333333333","0.10000000000000000000","2259.7966681958487"
"125845","340","13","675.54","46.15384615384615","7.6923076923076925","26.15","40","F","true","false","usa","el paso","2","125845","4","8","876.2","9","2866","2067.7170","735.9792500000000000","2","100","1","50","0.15000000000000000000","3264.7579447168196"
"133058","113","13","65.31","15.384615384615385","0","8.69","19","F","false","false","usa","austin","2","133058","2","2","871.25","6","2887","423.51","","5","0","1","50","","2887.178515652686"
"149058","185","12","158.42","58.333333333333336","8.333333333333332","15.42","51","F","false","true","usa","birmingham","2","149058","5","10","5373","6","1960","1919.1325","1458.4265000000000000","6","100","1","20","0.05000000000000000000","3192.3559769103113"
"152583","202","10","295.96","30","10","20.20","38","F","false","false","usa","colorado springs","2","152583","1","2","426","8","2266","367.83","793.8300000000000000","3","100","1","0","","2265.716295635522"
"153982","253","11","481.96","54.54545454545454","9.090909090909092","23.00","46","F","false","true","canada","toronto","2","153982","4","8","1913","10","1185","789.96","675.7400000000000000","4","100","1","0","","2892.6729932816106"
"160754","294","10","790.90","30","10","29.40","46","F","true","true","usa","new york","2","160754","1","2","428","11","528","93.62","521.6200000000000000","3","100","1","0","","527.63183389388"
"164522","139","10","191.29","30","10","13.90","49","F","true","false","usa","kansas city","2","164522","1","2","3029","8","1808","311.9040","3340.9040000000000000","14","100","1","100","0.05000000000000000000","1807.646503324766"
"174997","267","9","893.78","44.44444444444444","11.11111111111111","29.67","33","F","false","false","usa","grand rapids","2","174997","2","4","448","8","1538","590.43","519.2150000000000000","2","100","1","0","","2857.897017305759"
"175032","174","14","92.14","28.57142857142857","0","12.43","30","F","false","false","usa","houston","2","175032","4","5","3691.80","6","1727","1333.64","742.9600000000000000","4","75","2","50","","2391.099920244428"
"181157","378","10","851.30","50","10","37.80","54","F","true","false","usa","houston","2","181157","3","6","4987.80","5","1213","959.0255","1982.2751666666666667","4","100","2","66.66666666666666","0.15000000000000000000","2285.637029441079"
"187212","187","12","115.50","25","0","15.58","55","F","true","true","usa","los angeles","2","187212","3","6","904","8","2466","1242.57","715.5233333333333333","3","100","1","0","","4183.68105154044"
"189676","312","10","803.20","40","10","31.20","36","F","false","true","usa","fort worth","2","189676","2","2","5001","4","2351","1244.31","1777.1550000000000000","9","50","3","0","","2350.536145550067"
"190866","444","12","751.58","66.66666666666666","8.333333333333332","37.00","38","F","false","false","usa","tallahassee","2","190866","6","12","1436","7","2634","2738.55","695.7583333333333333","2","100","1","0","","4038.5264099904816"
"195192","351","13","200.31","30.76923076923077","0","27.00","29","F","false","false","usa","chicago","2","195192","4","8","3329","10","1256","1304.41","1158.3525000000000000","2","100","2","0","","1528.8903121668347"
"204943","364","11","807.45","90.9090909090909","9.090909090909092","33.09","41","M","false","false","canada","ottawa","2","204943","8","16","4047","7","1775","3518.172","855.2302500000000000","3","87.5","1","12.5","0.10000000000000000000","3739.589951281529"
"204997","475","9","1273.05","66.66666666666666","22.22222222222222","52.78","39","F","true","false","usa","kansas city","2","204997","2","4","284","7","1282","488.47","210.6450000000000000","5","50","1","0","","1807.646503324766"
"205044","402","12","736.92","50","8.333333333333332","33.50","41","F","true","true","canada","toronto","2","205044","4","8","5742.8","5","2627","3254.6875","2249.3718750000000000","4","100","2","50","0.05000000000000000000","3318.487471649526"
"206011","339","12","727.67","50","8.333333333333332","28.25","40","F","false","true","usa","kansas city","2","206011","4","8","1055","6","1452","1024.7720","491.8605000000000000","3","75","1","50","0.05000000000000000000","2351.727904340668"
"217136","323","10","812.20","40","10","32.30","39","F","false","true","usa","little rock","2","217136","2","2","659","7","3095","539.57","459.7850000000000000","2","50","1","0","","3095.3404436795545"
"220725","550","13","1229.92","53.84615384615385","15.384615384615385","42.31","41","F","false","false","usa","stockton","2","220725","3","6","962","5","3128","1533.42","672.1366666666666667","4","66.66666666666666","1","33.33333333333333","","4175.732793161223"
"224996","317","10","806.80","40","10","31.70","43","F","false","true","canada","halifax","2","224996","2","4","0","8","2488","897.61","84.6900000000000000","1","50","1","0","","4039.6982200338734"
"226367","125","9","102.67","44.44444444444444","0","13.89","44","F","false","false","usa","washington","2","226367","4","8","1864","47","3566","5377.4010","686.9002500000000000","3","75","2","25","0.05000000000000000000","9364.335902199531"
"228872","241","11","163.18","36.36363636363637","0","21.91","35","M","false","false","usa","san antonio","2","228872","4","6","2388","6","1564","979.37","609.8425000000000000","5","75","2","0","","2953.6730397354886"
"229009","264","10","805.06","60","20","26.40","18","F","false","false","usa","stockton","2","229009","2","4","474","9","3029","1061.63","767.8150000000000000","2","100","1","0","","4175.732793161223"
"229108","330","9","907.33","33.33333333333333","11.11111111111111","36.67","26","F","false","false","usa","burlington","2","229108","1","2","","169","1196","198.98","","","0","1","0","","1196.2935173657281"
"229330","159","11","107.09","45.45454545454545","0","14.45","48","F","true","false","usa","colorado springs","2","229330","5","10","3365","7","1544","2094.39","1091.8780000000000000","2","100","2","0","","3019.044514459437"
"232647","127","10","147.50","40","10","12.70","18","F","false","false","usa","birmingham","2","232647","2","2","2343","7","1437","237.1","","11","0","1","0","","1436.751018608673"
"249521","225","11","152.00","45.45454545454545","0","20.45","60","F","true","true","canada","ottawa","2","249521","5","8","5940.4","29","3267","3668.07","1882.8140000000000000","5","80","1","20","","8375.987712792758"
"252835","346","14","220.29","71.42857142857143","7.142857142857142","24.71","38","F","false","true","usa","chicago","2","252835","8","15","2902","8","1891","2659.255","578.1968750000000000","3","75","1","12.5","0.30000000000000000000","2675.1792468742797"
"258451","220","12","179.67","25","8.333333333333332","18.33","23","F","false","false","usa","miami","2","258451","1","0","3000","","","","","10","0","","0","",""
"264470","129","11","88.45","18.181818181818183","0","11.73","46","F","false","true","usa","bakersfield","2","264470","2","4","2127","8","2392","835.2175","1481.1087500000000000","5","100","1","50","0.05000000000000000000","4142.836605182802"
"276512","169","12","104.67","8.333333333333332","0","14.08","42","F","true","true","usa","austin","2","276512","1","2","100","10","2409","395.69","495.6900000000000000","2","100","1","0","","2409.253288662373"
"281952","221","11","149.55","45.45454545454545","0","20.09","37","F","false","false","usa","louisville","2","281952","5","10","2949.30","12","4514","3803.81","798.7220000000000000","4","80","1","20","","16493.72953921258"
"283325","194","13","111.15","38.46153846153847","0","14.92","51","F","true","false","usa","dallas","2","283325","5","8","3277","7","2074","1347.953","769.7906000000000000","2","80","1","20","0.10000000000000000000","2838.442946557796"
"290123","262","13","149.77","61.53846153846154","0","20.15","41","F","true","false","usa","houston","2","290123","8","15","4987","6","2430","5091.23","1201.9637500000000000","3","87.5","2","0","","3463.5706844438264"
"297546","287","12","177.92","66.66666666666666","0","23.92","51","F","true","false","usa","new york","2","297546","8","11","6176.00","6","1955","2436.76","506.8075000000000000","6","62.5","1","25","0.10000000000000000000","4114.102150708948"
"298253","156","12","97.25","25","0","13.00","47","F","true","true","usa","los angeles","2","298253","3","6","320","7","3026","1450.7475","174.7658333333333333","6","33.33333333333333","1","33.33333333333333","0.45000000000000000000","4183.68105154044"
"299476","507","13","729.00","30.76923076923077","7.6923076923076925","39.00","39","F","true","false","usa","atlanta","2","299476","2","4","11391","32","5073","3070.50","7230.7500000000000000","6","100","2","0","","9055.664008993339"
"306819","358","11","792.36","27.27272727272727","9.090909090909092","32.55","60","F","true","true","usa","new york","2","306819","1","2","370","4","293","50.16","420.1600000000000000","2","100","1","0","","293.18110814727305"
"312488","140","11","95.36","27.27272727272727","0","12.73","31","M","true","false","usa","new york","2","312488","3","6","374","7","3369","1802.79","725.5966666666666667","2","100","1","0","","4165.265628359745"
"313724","403","10","926.90","80","10","40.30","52","F","false","false","usa","tulsa","2","313724","6","10","6572","8","1844","1850.384","1058.7306666666666667","5","83.33333333333334","1","16.666666666666664","0.10000000000000000000","2381.9580843460462"
"316527","188","11","127.73","36.36363636363637","0","17.09","42","F","true","true","canada","winnipeg","2","316527","4","8","5658.30","7","1941","1739.89","1849.5475000000000000","3","100","1","25","","2267.398623566123"
"317688","184","12","113.75","50","0","15.33","41","F","false","true","usa","indianapolis","2","317688","6","12","1526.00","7","1547","2091.45","589.2433333333333333","2","83.33333333333334","1","33.33333333333333","","2794.2169307492745"
"322867","139","11","94.27","27.27272727272727","0","12.64","46","F","false","false","usa","mobile","2","322867","3","4","7766","8","2145","742.19","736.7300000000000000","19","66.66666666666666","1","0","","3369.8068468628726"
"324191","196","11","132.18","36.36363636363637","0","17.82","40","F","false","false","usa","san diego","2","324191","4","8","3716","8","1954","1293.48","1252.3700000000000000","4","100","1","0","","4154.468710785126"
